c0010,c0020,c0030,c0040,c0050,c0060,c0070,c0080,c0090,c0100,c0110,c0120
645593835,eba_qCO:qx2003,"22 645 593 835",other,"521 Products Pty Ltd","521 Products Pty Ltd",eba_CT:x212,eba_GA:AU,eba_CU:USD,468,645593835,
2441318,eba_qCO:qx2003,32-0749731,other,"Lovable Labs Incorporated","​Lovable Labs Incorporated",eba_CT:x212,eba_GA:US,eba_CU:USD,240,2441318,
6524309,eba_qCO:qx2003,6564202,other,"Anysphere, Inc.","Anysphere, Inc.",eba_CT:x212,eba_GA:US,eba_CU:USD,240,6524309,
85-0622629,eba_qCO:qx2003,,,"Supernormal Technologies Inc.","Supernormal Technologies Inc.",eba_CT:x212,eba_GA:US,eba_CU:USD,936,85-0622629,
5164110669,eba_qCO:qx2003,5164110669,eba_qCO:qx2003,"Amazon Web Services Emea Sarl, Sverige Filial","Amazon Web Services Emea Sarl",eba_CT:x212,eba_GA:SE,eba_CU:USD,240000,5164110669,
549300MSNMHPC3O60W78,eba_qCO:qx2000,,,"Fortnox AB","Fortnox AB (publ.)",eba_CT:x212,eba_GA:SE,eba_CU:SEK,18000,549300MSNMHPC3O60W78,
EU372001951,eba_qCO:qx2004,102443916,eba_qCO:qx2003,"Atlassian Pty Ltd","Atlassian Pty Ltd",eba_CT:x212,eba_GA:AU,eba_CU:USD,1400,EU372001951,
559382-6505,eba_qCO:qx2003,,,"Softronic Cm1 AB","Softronic Cm1 AB",eba_CT:x212,eba_GA:SE,eba_CU:SEK,1068000,559382-6505,
25490098LI45LT3Y6A09,eba_qCO:qx2000,,,"Chainalysis Inc ","Chainalysis Inc ",eba_CT:x212,eba_GA:US,eba_CU:USD,25000,25490098LI45LT3Y6A09,
31000177946992,eba_qCO:qx2003,636700VYU2YNGEWJNM54,eba_qCO:qx2000,"Notabene Inc","Notabene Inc",eba_CT:x212,eba_GA:US,eba_CU:USD,22500,31000177946992,
5590012752,eba_qCO:qx2003,5590012752,eba_qCO:qx2003,"Controlkeeper AB","Controlkeeper AB",eba_CT:x212,eba_GA:SE,eba_CU:SEK,41000,5590012752,
5569571168,eba_qCO:qx2003,5569571168,eba_qCO:qx2003,"DevCode Payment AB"," DevCode Payment AB",eba_CT:x212,eba_GA:SE,eba_CU:SEK,0,5569571168,
EE101382096,eba_qCO:qx2004,11958539,eba_qCO:qx2003,"Pipedrive OU","Pipedrive OU",eba_CT:x212,eba_GA:EE,eba_CU:EUR,9468,EE101382096,
7812608,eba_qCO:qx2003,,,"Tailscale US Inc.","Tailscale US Inc.",eba_CT:x212,eba_GA:US,eba_CU:USD,936,7812608,
IE3335493BH,eba_qCO:qx2004,635400HZOP3LBSUGAN82,eba_qCO:qx2000,"Twilio Ireland Limited","Twilio Ireland Limited",eba_CT:x212,eba_GA:IE,eba_CU:USD,2100,5493004W8TRGD63APX93,eba_qCO:qx2000
5493004W8TRGD63APX93,eba_qCO:qx2000,4518652,eba_qCO:qx2003,"Twilio, Inc","Twilio, Inc",eba_CT:x212,eba_GA:US,eba_CU:USD,4680,5493004W8TRGD63APX93,
C3280123,eba_qCO:qx2003,C3280123,eba_qCO:qx2003,"Mixpanel, Inc.","Mixpanel, Inc.",eba_CT:x212,eba_GA:US,eba_CU:USD,0,C3280123,
3488095,eba_qCO:qx2003,EU528001391,eba_qCO:qx2004,"GitHub, Inc.","GitHub, Inc.",eba_CT:x212,eba_GA:US,eba_CU:USD,3300,3488095,
54930014QNWWH8OAC930,eba_qCO:qx2000,5074703,eba_qCO:qx2003,"GoDaddy.com, LCC","GoDaddy.com, LCC",eba_CT:x212,eba_GA:US,eba_CU:USD,,54930014QNWWH8OAC930,
IE660412,eba_qCO:qx2003,98450052CF14CFEB6435,eba_qCO:qx2000,"Google Cloud EMEA Limited","Google Cloud EMEA Limited",eba_CT:x212,eba_GA:IE,eba_CU:EUR,18000,IE660412,
254900C887Y5T9RPKQ79,eba_qCO:qx2000,5526570,eba_qCO:qx2003,"RAINTANK, INC.","RAINTANK, INC.",eba_CT:x212,eba_GA:US,eba_CU:USD,0,254900C887Y5T9RPKQ79,
559225-7132,eba_qCO:qx2003,,,"AlexisHR AB",B_05.01.0050,eba_CT:x212,eba_GA:SE,eba_CU:SEK,40000,559225-7132,eba_qCO:qx2003
ATU75488713,eba_qCO:qx2004,"FN 532531i",eba_qCO:qx2003,"apilayer Data Products GmbH","apilayer Data Products GmbH",eba_CT:x212,eba_GA:AT,eba_CU:USD,781,ATU75488713,
10003867,eba_qCO:qx2003,740592498RC0001,other,"Unsplash Inc.","Unsplash Inc.",eba_CT:x212,eba_GA:CA,eba_CU:EUR,48,10003867,
213800K7LQU3H85KCU96,eba_qCO:qx2000,,,"Bahnhof AB","Bahnhof AB",eba_CT:x212,eba_GA:SE,eba_CU:SEK,24000,213800K7LQU3H85KCU96,
549300I5OMH3T4UPBN04,eba_qCO:qx2000,5590662093,eba_qCO:qx2003,"Valuno Group AB (publ)","Valuno Group AB (publ)",eba_CT:x212,eba_GA:SE,eba_CU:EUR,0,549300I5OMH3T4UPBN04,
63196735,eba_qCO:qx2003,NL855132632B01,eba_qCO:qx2004,"Digital Currency Technology Services BV","Digital Currency Technology Services BV",eba_CT:x212,eba_GA:NL,eba_CU:EUR,800000,63196735,
9845002BEA37EFDSFC41,eba_qCO:qx2000,EU372008688,eba_qCO:qx2004,"AgileBits Inc.","AgileBits Inc.",eba_CT:x212,eba_GA:CA,eba_CU:USD,2760,9845002BEA37EFDSFC41,
