c0010,c0020,c0030,c0040,c0050,c0060,c0070
C:2996925581,eba_TA:S13,549300MSNMHPC3O60W78,eba_qCO:qx2000,1,549300MSNMHPC3O60W78,eba_qCO:qx2000
C:7070351658,eba_TA:S06,31000177946992,eba_qCO:qx2003,1,31000177946992,eba_qCO:qx2003
C:7070351658,eba_TA:S06,B186284,eba_qCO:qx2003,2,31000177946992,eba_qCO:qx2003
C:7070351658,eba_TA:S06,549300N8J06I8MRHU620,eba_qCO:qx2000,2,31000177946992,eba_qCO:qx2003
C:7070351658,eba_TA:S06,5493007DY18BGNLDWU14,eba_qCO:qx2000,2,31000177946992,eba_qCO:qx2003
C:7070351658,eba_TA:S06,549300F6JNO0KRPO1K63,eba_qCO:qx2000,2,31000177946992,eba_qCO:qx2003
C:7070351658,eba_TA:S06,6766463,eba_qCO:qx2003,2,31000177946992,eba_qCO:qx2003
C:7070351658,eba_TA:S06,7ZW8QJWVPR4P1J1KQY45,eba_qCO:qx2000,2,31000177946992,eba_qCO:qx2003
C:1000038923,eba_TA:S07,549300I5OMH3T4UPBN04,eba_qCO:qx2000,1,549300I5OMH3T4UPBN04,eba_qCO:qx2000
C:1000038923,eba_TA:S07,9845002BEA37EFDSFC41,eba_qCO:qx2000,2,549300I5OMH3T4UPBN04,eba_qCO:qx2000
C:1000038923,eba_TA:S07,645593835,eba_qCO:qx2003,2,549300I5OMH3T4UPBN04,eba_qCO:qx2000
C:1000038923,eba_TA:S07,2441318,eba_qCO:qx2003,2,549300I5OMH3T4UPBN04,eba_qCO:qx2000
C:1000038923,eba_TA:S07,6524309,eba_qCO:qx2003,2,549300I5OMH3T4UPBN04,eba_qCO:qx2000
C:1000038923,eba_TA:S07,85-0622629,eba_qCO:qx2003,2,549300I5OMH3T4UPBN04,eba_qCO:qx2000
C:1000038923,eba_TA:S07,5164110669,eba_qCO:qx2003,2,549300I5OMH3T4UPBN04,eba_qCO:qx2000
C:1000038923,eba_TA:S07,EU372001951,eba_qCO:qx2004,2,549300I5OMH3T4UPBN04,eba_qCO:qx2000
C:1000038923,eba_TA:S07,559382-6505,eba_qCO:qx2003,2,549300I5OMH3T4UPBN04,eba_qCO:qx2000
C:1000038923,eba_TA:S07,25490098LI45LT3Y6A09,eba_qCO:qx2000,2,549300I5OMH3T4UPBN04,eba_qCO:qx2000
C:1000038923,eba_TA:S07,5566283320,eba_qCO:qx2003,2,549300I5OMH3T4UPBN04,eba_qCO:qx2000
C:1000038923,eba_TA:S07,556761-5561,eba_qCO:qx2003,2,549300I5OMH3T4UPBN04,eba_qCO:qx2000
C:1000038923,eba_TA:S07,549300SLI6BN94BKKO36,eba_qCO:qx2000,2,549300I5OMH3T4UPBN04,eba_qCO:qx2000
C:1000038923,eba_TA:S07,GB434338990,eba_qCO:qx2004,2,549300I5OMH3T4UPBN04,eba_qCO:qx2000
C:1000038923,eba_TA:S07,C4279623,eba_qCO:qx2003,2,549300I5OMH3T4UPBN04,eba_qCO:qx2000
C:1000038923,eba_TA:S07,254900GW8JDOHPHX7858,eba_qCO:qx2000,2,549300I5OMH3T4UPBN04,eba_qCO:qx2000
